,number,xmin_scaled,xmax_scaled,ymin_scaled,ymax_scaled
1510,183786,0.8802816901408451,31.139964788732396,12.730833799664243,40.39591494124231
1511,183786,215.44894366197184,229.75352112676057,59.73698936765529,70.01958589815334
1512,183786,69.10211267605634,438.82042253521126,281.7921096810297,311.4157806379407
726,183844,143.10747663551402,167.9322429906542,155.8016877637131,173.52320675105486
442,183845,313.5826468550312,415.592039417969,233.12002089591223,277.6269392300131
1182,183846,302.96723952738984,451.5529896168993,165.77995318152796,262.82187699510536
1183,183846,39.36179735051915,446.62996777658424,289.42328154926577,326.0268142157906
1184,183846,0.42517006802720325,28.173111349803065,274.95211747180247,340.71078952968713
1185,183846,324.0872451398767,448.130461288356,28.787033468880672,117.56382899179239
1186,183846,42.555713608345194,439.66334755808435,10.468012170502062,35.430195038622365
1187,183846,23.37875939849624,111.48966165413533,26.06937646307725,285.13380506490745
1188,183846,0.3720238095238095,20.931234335839598,10.241540753351776,182.71839753138966
874,183847,226.6472079556192,343.1188197543338,222.825358531028,240.02591252289682
101,183855,119.98343151693672,156.80228276877764,183.96878483835008,197.71832032701602
102,183855,41.743372606774706,62.45397643593521,280.2155332590115,295.45150501672236
103,183855,301.77650957290143,333.9930044182623,282.445187662579,296.1947231512449
346,183862,47.82749675745785,456.38780804150457,16.348195329087048,40.87048832271762
347,183862,290.8560311284047,465.9533073929961,149.14012738853503,254.66029723991505
348,183862,144.29312581063556,314.8508430609598,278.7367303609342,305.1910828025478
926,183867,258.203125,424.8697916666667,257.1398394592311,315.5471060414026
927,183867,358.4635416666667,398.17708333333337,24.98943810730883,37.9277566539924
709,183868,360.4559748427673,443.6582809224319,206.5756035578145,262.5370605675561
710,183868,365.7844164919637,391.2619380386677,21.412772365758393,32.32505059061604
473,183869,402.710681696189,440.2844873859367,18.85072094995759,37.03350296861747
474,183869,170.09815198220994,469.6342305037957,312.49999999999994,337.4151823579304
329,183874,376.1053440984237,472.22222222222223,153.4013550091401,178.8416787359034
330,183874,364.6452547836632,469.26477981841305,199.72552657130612,231.43100464869028
1701,183876,398.89355338793547,459.257658695861,216.82112737109526,239.09858598495447
1702,183876,408.4969337778327,454.4559685009123,253.8862093751886,273.09091507679136
1703,183876,387.2323057716316,446.22449959528615,64.14371704335325,81.8120462888278
1704,183876,430.1045396551015,452.7410791455736,92.37463442470931,101.9769872755107
1705,183876,306.2895281996406,387.2323057716316,152.485363270726,165.54456314781586
1706,183876,358.4221646019399,459.60063656692876,124.2544458893699,150.75693975758173
1707,183876,417.0713805545267,456.51383572731896,150.75693975758173,160.55133966539918
227,183878,421.3187805667741,457.1042721060614,132.01598829026628,149.50318076901422
228,183878,418.7626740282536,458.80834313174176,216.25007037099593,230.0427855655014
229,183878,394.47966191230853,419.61470954109365,236.93914316275408,249.2540674435625
230,183878,389.79346659168755,417.48462075899323,250.48555987164332,261.5689917243709
231,183878,392.34957313020817,440.0635618492579,264.27827506614875,278.3172887462704
256,183881,97.44990892531877,367.2586520947177,300.78939529341676,336.7590110217456
978,183919,41.017839031084065,93.96814032575622,65.27104500077473,76.117272063218
1155,183942,48.815043791859864,314.7861926841834,11.30017452006981,30.388307155322863
1156,183942,116.26922793847056,320.50857437256195,240.78315881326353,255.50828970331588
1157,183942,278.6487083241333,301.1886361963641,217.05933682373472,227.4214659685864
907,183943,48.171045852653265,314.7861926841834,10.918411867364748,32.67888307155323
908,183943,115.1468315301391,323.1581658938691,240.73952879581154,257.53708551483425
48,183971,67.5710733007711,165.07881130016276,150.87451530401785,174.45617798311466
49,183971,279.5833109691732,469.6786717478038,153.04017820311856,172.29051508401398
50,183971,195.04678582291157,252.74631885924896,287.3112779473641,303.6740642961252
745,184010,165.63198706055846,187.43558029272313,206.9366228658264,216.99293823187628
426,184011,296.96764992869475,362.2682578998724,71.0793531402783,87.31352638836655
1159,184012,300.34307964433685,402.73276588672434,197.7782392026578,233.25027685492805
1485,184015,404.16933418693986,464.85542040119503,110.47549999115843,125.01989354741738
1486,184015,400.83493384549723,472.8579812206573,270.773284292055,286.2460433944581
1602,184018,51.10963265694054,122.98626621679418,114.02033854461382,134.67414676733543
914,184064,100.01080780632412,216.58071887351775,131.8061968009453,153.2499288855824
915,184064,420.7110164141414,448.3309659090909,188.3772297712912,199.87558015992843
916,184064,329.4665404040405,349.6882891414141,208.43818151316898,222.13834367835375
1152,184065,53.30211317791129,437.97902819994476,8.738949891906932,34.95954536698132
1153,184065,319.4490903009061,426.3441876699778,119.98919069329398,152.95222500481603
605,184067,33.23129251700677,366.56462585034006,9.124087591240874,24.939172749391727
767,184068,56.210823310403036,438.7062057330677,10.986429504056165,33.461225625548494
768,184068,323.08497796652074,421.98112247124016,120.73835056401036,152.95222500481603
41,184076,265.5229178455681,466.66495190081787,215.94607159460713,260.80892608089255
42,184076,62.323164771850394,419.8518442306703,278.70757787075775,314.7373314737331
1438,184078,20.198307687281517,92.07259302819432,17.047241146964137,46.619749943849676
1439,184078,12.847528504688146,79.00454114802834,54.480796586059746,78.06393651268998
1440,184078,5.496749322094775,90.43908654317356,96.40637867784682,128.2249008010781
1441,184078,29.999346597405985,105.95739815087065,158.54608070674553,187.36991839484915
1442,184078,1.4129831095429188,29.999346597405985,158.92041626113647,184.74956951411244
1443,184078,0.596229867032576,32.449606324937086,201.59466946170548,227.42382271468145
1444,184078,34.899866052468255,117.39194354601587,199.7229916897507,226.30081605150858
1445,184078,2.2297363520533326,27.549086869874884,255.12465373961223,276.46178033989673
1446,184078,42.250645235061555,102.69038518082913,251.00696264131167,277.58478700306955
888,184101,33.46097738876736,429.3095064429857,11.560152376088022,50.29262167741387
889,184101,56.254558716265514,427.0301483102358,56.6238906978229,98.33578071463533
728,184102,363.791857383763,433.6545410744399,150.42326893857174,166.2687215107445
729,184102,358.9737412671645,445.21801975427604,179.7265031473844,197.95962665509006
290,184104,80.14068584348696,157.86333375204117,173.53262309853184,193.196586632745
106,184105,91.10032362459546,377.5080906148867,51.57657657657658,77.85285285285285
107,184105,317.6375404530744,379.93527508090614,185.5855855855856,212.23723723723725
108,184105,343.52750809061484,470.5501618122977,218.24324324324326,261.4114114114114
1267,184127,44.46515981524958,155.33075542052202,12.539024515072418,32.95972158247607
1268,184127,366.7042612284982,389.72133990087315,29.556272071242127,40.662265213163415
1269,184127,317.984778038638,452.63468827203116,96.72961768770149,151.00568094580066
1270,184127,314.1485982599088,451.86745231628544,202.4156814575976,221.22421823020625
1271,184127,238.19223864107167,461.4579017631082,261.349096678438,314.72951532831775
1647,184130,42.05999884172122,154.5095654524044,13.295988667825638,33.578005279763055
1648,184130,365.4128298681493,392.4393351479701,28.62017899684502,42.59223488506857
1649,184130,317.6338294627517,444.07926487905644,94.19869937544267,152.56583606979592
1650,184130,314.2555163027741,453.24897202756705,201.69338741871096,221.5246925503831
1651,184130,232.21076813188932,472.07100249029935,260.2858798531969,317.0755263666216
262,184145,50.17840509007089,185.1663272233537,171.64271173894267,194.85226081056072
263,184145,298.44566538783374,423.9607508801845,177.4001192605844,198.9903974667407
264,184145,317.78604019640346,331.60059363109616,203.30845310797196,214.8232681512553
265,184145,0.8407142518827281,19.786387533746982,308.9208973330866,322.7746591820369
1465,184146,285.60568704799476,389.5668967784353,71.96724843783667,112.69123033828916
29,184148,310.94490399062204,391.021513365364,114.1917956077248,143.59832943903737
30,184148,310.53213796291715,395.5619396701174,166.3508300676442,195.11342520192073
903,184156,327.995867768595,415.8057851239669,95.94298245614036,118.20175438596492
904,184156,110.58638331365599,371.92542306178666,118.42105263157896,132.94956140350877
905,184156,295.060999606454,424.19323101141276,153.7828947368421,197.6425438596491
1162,184157,103.71517027863777,373.8067595459236,12.578988941548184,30.625767948042835
1163,184157,283.5318658914143,429.36362606660117,143.62501444919664,167.00060365532568
1164,184157,108.43936419240352,375.08967001434723,288.5986205833622,312.87327091280395
684,184159,103.58617131062955,366.7440660474716,11.058451816745656,27.95330875899597
685,184159,280.95975232198145,429.9535603715171,144.0670528348254,167.41267333684397
686,184159,107.45614035087723,369.96904024767804,285.9838511497279,313.9371599087239
481,184251,67.33027953958185,146.12207344765483,42.08567609143977,59.249108240462704
482,184251,124.09952235533628,141.2281732049174,137.54257270107414,144.83115347668658
483,184251,64.88332941821314,146.12207344765483,154.23577383231563,169.75339741910346
484,184251,128.50403257379998,141.71756322919114,146.4769620389217,154.23577383231563
485,184251,126.05708245243129,140.73878318064362,222.8895024284073,229.70785218623834
1250,184252,115.21216097987754,287.45625546806656,17.676767676767675,34.82587064676617
1251,184252,249.72659667541564,448.76421697287844,279.92612694105236,314.7519975878185
780,184253,80.31572844191442,242.0672570103311,74.52026735661923,82.8527023142159
781,184253,334.6378874130298,420.29042799915675,64.93010636768723,90.71349001006183
782,184253,305.3183639047017,340.2382458359689,279.2151789564467,289.4342029610464
1389,184255,372.5589225589226,443.70044531334855,273.38673977923435,306.6229704836568
203,184257,53.015726542712976,154.61979463216383,80.64516129032259,122.63396427619304
204,184257,53.015726542712976,132.53195374315277,168.6217008797654,191.28232471340976
1697,184258,290.962896303475,380.52055932438043,43.91807107970889,77.02554004748944
1698,184258,294.42406202408966,359.32091928561533,113.28610129791575,129.50200446580828
1699,184258,285.7711477225528,380.0879136093036,220.26601803053998,268.238064902222
1700,184258,378.3573307489962,388.30818219576355,175.22184256417185,237.6080255850917
1274,184259,278.5182067589475,369.7078812819553,89.88186954288649,164.99743194658447
