jsonname,photoname,width,height,class,xmin,ymin,xmax,ymax
/Users/imchengliang/Downloads/DS-Project/json-data/189279.json,/Users/imchengliang/Downloads/DS-Project/photo189279.png,3343,4157,m,633.6451612903227,3258.064516129032,2585.2580645161293,3745.1612903225805
/Users/imchengliang/Downloads/DS-Project/json-data/184298.json,/Users/imchengliang/Downloads/DS-Project/photo184298.png,3678,4806,m,133.59459459459458,1810.8108108108108,2825.4864864864867,2072.972972972973
/Users/imchengliang/Downloads/DS-Project/json-data/184332.json,/Users/imchengliang/Downloads/DS-Project/photo184332.png,3582,4776,m,2647.0,194.0,2873.315789473684,399.2631578947368
/Users/imchengliang/Downloads/DS-Project/json-data/184332.json,/Users/imchengliang/Downloads/DS-Project/photo184332.png,3582,4776,m,294.3684210526317,3351.8947368421054,452.26315789473665,3562.4210526315787
/Users/imchengliang/Downloads/DS-Project/json-data/184332.json,/Users/imchengliang/Downloads/DS-Project/photo184332.png,3582,4776,m,1036.4736842105262,3257.157894736842,1220.6842105263158,3467.684210526316
/Users/imchengliang/Downloads/DS-Project/json-data/184332.json,/Users/imchengliang/Downloads/DS-Project/photo184332.png,3582,4776,m,1710.157894736842,3199.2631578947367,1899.6315789473683,3404.5263157894738
/Users/imchengliang/Downloads/DS-Project/json-data/184332.json,/Users/imchengliang/Downloads/DS-Project/photo184332.png,3582,4776,m,2315.421052631579,3094.0,2531.210526315789,3272.9473684210525
/Users/imchengliang/Downloads/DS-Project/json-data/184332.json,/Users/imchengliang/Downloads/DS-Project/photo184332.png,3582,4776,m,278.5789473684208,2788.7368421052633,473.31578947368416,2946.6315789473683
/Users/imchengliang/Downloads/DS-Project/json-data/184332.json,/Users/imchengliang/Downloads/DS-Project/photo184332.png,3582,4776,m,562.7894736842104,2178.2105263157896,3057.5263157894733,2972.9473684210525
/Users/imchengliang/Downloads/DS-Project/json-data/194298.json,/Users/imchengliang/Downloads/DS-Project/photo194298.png,2808,3996,m,1733.173913043478,1381.4782608695652,2007.086956521739,1551.0434782608695
/Users/imchengliang/Downloads/DS-Project/json-data/194277.json,/Users/imchengliang/Downloads/DS-Project/photo194277.png,3024,4500,m,833.7575757575758,3154.5454545454545,1758.0,3430.30303030303
/Users/imchengliang/Downloads/DS-Project/json-data/194277.json,/Users/imchengliang/Downloads/DS-Project/photo194277.png,3024,4500,m,1761.030303030303,3151.5151515151515,2754.969696969697,3524.242424242424
/Users/imchengliang/Downloads/DS-Project/json-data/186837.json,/Users/imchengliang/Downloads/DS-Project/photo186837.png,2901,4440,m,1596.9459459459458,3897.2972972972975,2691.5405405405404,4329.72972972973
/Users/imchengliang/Downloads/DS-Project/json-data/186837.json,/Users/imchengliang/Downloads/DS-Project/photo186837.png,2901,4440,m,1353.7027027027027,3948.6486486486488,1534.7837837837837,4167.5675675675675
/Users/imchengliang/Downloads/DS-Project/json-data/242685.json,/Users/imchengliang/Downloads/DS-Project/photo242685.png,2999,4101,m,1845.565217391304,3185.6521739130435,2605.5,3647.5
/Users/imchengliang/Downloads/DS-Project/json-data/242685.json,/Users/imchengliang/Downloads/DS-Project/photo242685.png,2999,4101,m,800.5,3340.0,1620.5,3527.5
/Users/imchengliang/Downloads/DS-Project/json-data/242685.json,/Users/imchengliang/Downloads/DS-Project/photo242685.png,2999,4101,m,830.5,3582.5,2228.0,3772.5
/Users/imchengliang/Downloads/DS-Project/json-data/192198.json,/Users/imchengliang/Downloads/DS-Project/photo192198.png,3330,4149,m,402.142857142857,2702.8571428571427,1287.8571428571427,3291.428571428571
/Users/imchengliang/Downloads/DS-Project/json-data/192198.json,/Users/imchengliang/Downloads/DS-Project/photo192198.png,3330,4149,m,396.42857142857133,3191.428571428571,2270.7142857142853,3854.2857142857138
/Users/imchengliang/Downloads/DS-Project/json-data/187549.json,/Users/imchengliang/Downloads/DS-Project/photo187549.png,3356,4637,m,1978.9999999999995,4189.285714285714,3068.2857142857138,4471.428571428571
/Users/imchengliang/Downloads/DS-Project/json-data/194220.json,/Users/imchengliang/Downloads/DS-Project/photo194220.png,3528,4266,m,180.57142857142856,3171.428571428571,3386.2857142857138,4005.7142857142853
/Users/imchengliang/Downloads/DS-Project/json-data/194670.json,/Users/imchengliang/Downloads/DS-Project/photo194670.png,2805,3918,m,2211.8260869565215,3065.2173913043475,2631.391304347826,3265.2173913043475
/Users/imchengliang/Downloads/DS-Project/json-data/188995.json,/Users/imchengliang/Downloads/DS-Project/photo188995.png,2588,3716,m,1555.8461538461538,1825.6410256410256,2371.230769230769,2171.7948717948716
/Users/imchengliang/Downloads/DS-Project/json-data/188995.json,/Users/imchengliang/Downloads/DS-Project/photo188995.png,2588,3716,m,1468.6666666666665,2358.974358974359,2481.487179487179,3146.153846153846
/Users/imchengliang/Downloads/DS-Project/json-data/188995.json,/Users/imchengliang/Downloads/DS-Project/photo188995.png,2588,3716,m,1425.0769230769229,3215.3846153846152,2091.74358974359,3489.74358974359
/Users/imchengliang/Downloads/DS-Project/json-data/188995.json,/Users/imchengliang/Downloads/DS-Project/photo188995.png,2588,3716,m,960.9743589743589,3233.333333333333,1230.2051282051282,3443.5897435897436
/Users/imchengliang/Downloads/DS-Project/json-data/194666.json,/Users/imchengliang/Downloads/DS-Project/photo194666.png,2880,3894,m,2313.3333333333335,2303.3333333333335,2656.666666666667,2593.3333333333335
/Users/imchengliang/Downloads/DS-Project/json-data/186525.json,/Users/imchengliang/Downloads/DS-Project/photo186525.png,3054,4354,m,2223.666666666667,386.6666666666667,2357.0,560.0
/Users/imchengliang/Downloads/DS-Project/json-data/186525.json,/Users/imchengliang/Downloads/DS-Project/photo186525.png,3054,4354,m,1440.3333333333335,3366.666666666667,1813.666666666667,3500.0
/Users/imchengliang/Downloads/DS-Project/json-data/184148.json,/Users/imchengliang/Downloads/DS-Project/photo184148.png,3106,4181,m,1931.5897435897436,1364.102564102564,2429.025641025641,1715.3846153846152
/Users/imchengliang/Downloads/DS-Project/json-data/184148.json,/Users/imchengliang/Downloads/DS-Project/photo184148.png,3106,4181,m,1929.025641025641,1987.179487179487,2457.230769230769,2330.7692307692305
